label,query
1a,"select count(*) from 
movie_companies AS mc 
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id and mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND (mc.note LIKE '%(co-production)%'  OR mc.note LIKE '%(presents)%'))
join title AS t on (t.id = mc.movie_id)
join
 (select movie_id from movie_info_idx AS mi_idx 
join info_type AS it on (it.info = 'top 250 rank' AND it.id = mi_idx.info_type_id)) as t_mi_idx 
on(t_mi_idx.movie_id = mc.movie_id);"
1b,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it on (it.info = 'bottom 10 rank' AND it.id = mi_idx.info_type_id)
join title AS t on (t.production_year BETWEEN 2005 AND 2010 AND t.id = mi_idx.movie_id)
JOIN movie_companies AS mc  
on(mc.movie_id = mi_idx.movie_id and mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%')
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id);"
1c,"select count(*) from 
movie_companies AS mc 
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id and (mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND mc.note LIKE '%(co-production)%'))
join title AS t on (t.production_year >2010 AND t.id = mc.movie_id)
join
 (select movie_id from movie_info_idx AS mi_idx 
join info_type AS it on (it.info = 'top 250 rank' AND it.id = mi_idx.info_type_id)) as t_mi_idx 
on(t_mi_idx.movie_id = mc.movie_id);"
1d,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it on (it.info = 'bottom 10 rank' AND it.id = mi_idx.info_type_id)
join title AS t on (t.production_year >2000 AND t.id = mi_idx.movie_id)
JOIN movie_companies AS mc  
on(mc.movie_id = mi_idx.movie_id and mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%')
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id);"
2a,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword ='character-name-in-title' AND mk.keyword_id = k.id)
join title AS t on (t.id = mk.movie_id)
JOIN movie_companies AS mc  
on(mc.movie_id = mk.movie_id)
join company_name AS cn on (cn.country_code ='[de]' AND cn.id = mc.company_id);"
2b,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword ='character-name-in-title' AND mk.keyword_id = k.id)
join title AS t on (t.id = mk.movie_id)
JOIN movie_companies AS mc  
on(mc.movie_id = mk.movie_id)
join company_name AS cn on (cn.country_code ='[nl]' AND cn.id = mc.company_id);"
2c,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword ='character-name-in-title' AND mk.keyword_id = k.id)
join title AS t on (t.id = mk.movie_id)
join
 (select movie_id from movie_companies AS mc 
join company_name AS cn on (cn.country_code ='[sm]' AND cn.id = mc.company_id)) as t_mc 
on(t_mc.movie_id = mk.movie_id);"
2d,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword ='character-name-in-title' AND mk.keyword_id = k.id)
join title AS t on (t.id = mk.movie_id)
JOIN movie_companies AS mc  
on(mc.movie_id = mk.movie_id)
join company_name AS cn on (cn.country_code ='[us]' AND cn.id = mc.company_id);"
3a,"select count(*) from 
movie_info AS mi 
join title AS t on (t.production_year > 2005 AND t.id = mi.movie_id and mi.info IN ('Sweden','Norway', 'Germany', 'Denmark', 'Swedish','Denish', 'Norwegian', 'German'))
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id)) as t_mk 
on(t_mk.movie_id = mi.movie_id);"
3b,"select count(*) from 
movie_info AS mi 
join title AS t on (t.production_year > 2010 AND t.id = mi.movie_id and mi.info IN ('Bulgaria'))
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id)) as t_mk 
on(t_mk.movie_id = mi.movie_id);"
3c,"select count(*) from 
movie_info AS mi 
join title AS t on (t.production_year > 1990 AND t.id = mi.movie_id and mi.info IN ('Sweden','Norway','Germany','Denmark','Swedish','Denish','Norwegian', 'German','USA','American'))
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id)) as t_mk 
on(t_mk.movie_id = mi.movie_id);"
4a,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it on (it.info ='rating' AND it.id = mi_idx.info_type_id and mi_idx.info > '5.0')
join title AS t on (t.production_year > 2005 AND t.id = mi_idx.movie_id)
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id)) as t_mk 
on(t_mk.movie_id = mi_idx.movie_id);"
4b,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it on (it.info ='rating' AND it.id = mi_idx.info_type_id and mi_idx.info > '9.0')
join title AS t on (t.production_year > 2010 AND t.id = mi_idx.movie_id)
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id)) as t_mk 
on(t_mk.movie_id = mi_idx.movie_id);"
4c,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it on (it.info ='rating' AND it.id = mi_idx.info_type_id and mi_idx.info > '2.0')
join title AS t on (t.production_year > 1990 AND t.id = mi_idx.movie_id)
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id)) as t_mk 
on(t_mk.movie_id = mi_idx.movie_id);"
5a,"select count(*) from 
movie_companies AS mc 
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id and mc.note LIKE '%(theatrical)%' AND mc.note LIKE '%(France)%')
join title AS t on (t.production_year > 2005 AND t.id = mc.movie_id)
JOIN movie_info AS mi  
on(mi.movie_id = mc.movie_id and mi.info IN ('Sweden', 'Norway',  'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German'))
join info_type AS it on (it.id = mi.info_type_id);"
5b,"select count(*) from 
movie_companies AS mc 
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id and mc.note LIKE '%(VHS)%' AND mc.note LIKE '%(USA)%' AND mc.note LIKE '%(1994)%')
join title AS t on (t.production_year > 2010 AND t.id = mc.movie_id)
JOIN movie_info AS mi  
on(mi.movie_id = mc.movie_id and mi.info IN ('USA','America'))
join info_type AS it on (it.id = mi.info_type_id);"
5c,"select count(*) from 
movie_companies AS mc 
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id and mc.note NOT LIKE '%(TV)%' AND mc.note LIKE '%(USA)%')
join title AS t on (t.production_year > 1990 AND t.id = mc.movie_id)
JOIN movie_info AS mi  
on(mi.movie_id = mc.movie_id and mi.info IN ('Sweden','Norway', 'Germany', 'Denmark', 'Swedish','Denish','Norwegian', 'German', 'USA','American'))
join info_type AS it on (it.id = mi.info_type_id);"
6a,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword = 'marvel-cinematic-universe' AND k.id = mk.keyword_id)
join title AS t on (t.production_year > 2010 AND t.id = mk.movie_id)
join
 (select person_id, movie_id from cast_info AS ci 
join name AS n on (n.name LIKE '%Downey%Robert%' AND n.id = ci.person_id)) as t_ci 
on(t_ci.movie_id = mk.movie_id);"
6b,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword IN ('superhero', 'sequel', 'second-part',   'marvel-comics',  'based-on-comic', 'tv-special', 'fight',  'violence') AND k.id = mk.keyword_id)
join title AS t on (t.production_year > 2014 AND t.id = mk.movie_id)
join
 (select person_id, movie_id from cast_info AS ci 
join name AS n on (n.name LIKE '%Downey%Robert%' AND n.id = ci.person_id)) as t_ci 
on(t_ci.movie_id = mk.movie_id);"
6c,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword = 'marvel-cinematic-universe' AND k.id = mk.keyword_id)
join title AS t on (t.production_year > 2014 AND t.id = mk.movie_id)
join
 (select person_id, movie_id from cast_info AS ci 
join name AS n on (n.name LIKE '%Downey%Robert%' AND n.id = ci.person_id)) as t_ci 
on(t_ci.movie_id = mk.movie_id);"
6d,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword IN ('superhero', 'sequel', 'second-part','marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') AND k.id = mk.keyword_id)
join title AS t on (t.production_year > 2000 AND t.id = mk.movie_id)
join
 (select person_id, movie_id from cast_info AS ci 
join name AS n on (n.name LIKE '%Downey%Robert%' AND n.id = ci.person_id)) as t_ci 
on(t_ci.movie_id = mk.movie_id);"
