label,query,flattened_query
1a,select count(*) from  movie_companies as mc  join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id and mc.note not like '%(as metro-goldwyn-mayer pictures)%' and (mc.note like '%(co-production)%'  or mc.note like '%(presents)%')) join title as t on (t.id = mc.movie_id) join  (select movie_id from movie_info_idx as mi_idx  join info_type as it on (it.info = 'top 250 rank' and it.id = mi_idx.info_type_id)) as t_mi_idx  on(t_mi_idx.movie_id = mc.movie_id);,SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id AND mc.note NOT LIKE '%(as metro-goldwyn-mayer pictures)%' AND (mc.note LIKE '%(co-production)%' OR mc.note LIKE '%(presents)%') JOIN title AS t ON t.id = mc.movie_id JOIN movie_info_idx AS mi_idx ON mi_idx.movie_id = mc.movie_id JOIN info_type AS it ON it.info = 'top 250 rank' AND it.id = mi_idx.info_type_id
1b,select count(*) from  movie_info_idx as mi_idx  join info_type as it on (it.info = 'bottom 10 rank' and it.id = mi_idx.info_type_id) join title as t on (t.production_year between 2005 and 2010 and t.id = mi_idx.movie_id) join movie_companies as mc   on(mc.movie_id = mi_idx.movie_id and mc.note not like '%(as metro-goldwyn-mayer pictures)%') join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id);,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'bottom 10 rank' AND it.id = mi_idx.info_type_id JOIN title AS t ON t.production_year BETWEEN 2005 AND 2010 AND t.id = mi_idx.movie_id JOIN movie_companies AS mc ON mc.movie_id = mi_idx.movie_id AND mc.note NOT LIKE '%(as metro-goldwyn-mayer pictures)%' JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id
1c,select count(*) from  movie_companies as mc  join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id and (mc.note not like '%(as metro-goldwyn-mayer pictures)%' and mc.note like '%(co-production)%')) join title as t on (t.production_year >2010 and t.id = mc.movie_id) join  (select movie_id from movie_info_idx as mi_idx  join info_type as it on (it.info = 'top 250 rank' and it.id = mi_idx.info_type_id)) as t_mi_idx  on(t_mi_idx.movie_id = mc.movie_id);,SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id AND mc.note NOT LIKE '%(as metro-goldwyn-mayer pictures)%' AND mc.note LIKE '%(co-production)%' JOIN title AS t ON t.production_year > 2010 AND t.id = mc.movie_id JOIN movie_info_idx AS mi_idx ON mi_idx.movie_id = mc.movie_id JOIN info_type AS it ON it.info = 'top 250 rank' AND it.id = mi_idx.info_type_id
1d,select count(*) from  movie_info_idx as mi_idx  join info_type as it on (it.info = 'bottom 10 rank' and it.id = mi_idx.info_type_id) join title as t on (t.production_year >2000 and t.id = mi_idx.movie_id) join movie_companies as mc   on(mc.movie_id = mi_idx.movie_id and mc.note not like '%(as metro-goldwyn-mayer pictures)%') join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id);,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'bottom 10 rank' AND it.id = mi_idx.info_type_id JOIN title AS t ON t.production_year > 2000 AND t.id = mi_idx.movie_id JOIN movie_companies AS mc ON mc.movie_id = mi_idx.movie_id AND mc.note NOT LIKE '%(as metro-goldwyn-mayer pictures)%' JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id
2a,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[de]' and cn.id = mc.company_id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[de]' AND cn.id = mc.company_id
2b,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[nl]' and cn.id = mc.company_id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[nl]' AND cn.id = mc.company_id
2c,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join  (select movie_id from movie_companies as mc  join company_name as cn on (cn.country_code ='[sm]' and cn.id = mc.company_id)) as t_mc  on(t_mc.movie_id = mk.movie_id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[sm]' AND cn.id = mc.company_id
2d,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id
3a,"select count(*) from  movie_info as mi  join title as t on (t.production_year > 2005 and t.id = mi.movie_id and mi.info in ('sweden','norway', 'germany', 'denmark', 'swedish','denish', 'norwegian', 'german')) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword like '%sequel%' and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = mi.movie_id);","SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.production_year > 2005 AND t.id = mi.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german') JOIN movie_keyword AS mk ON mk.movie_id = mi.movie_id JOIN keyword AS k ON k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id"
3b,select count(*) from  movie_info as mi  join title as t on (t.production_year > 2010 and t.id = mi.movie_id and mi.info in ('bulgaria')) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword like '%sequel%' and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = mi.movie_id);,SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.production_year > 2010 AND t.id = mi.movie_id AND mi.info IN ('bulgaria') JOIN movie_keyword AS mk ON mk.movie_id = mi.movie_id JOIN keyword AS k ON k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id
