label,query,query_hint
1a,SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id AND mc.note NOT LIKE '%(as metro-goldwyn-mayer pictures)%' AND (mc.note LIKE '%(co-production)%' OR mc.note LIKE '%(presents)%') JOIN title AS t ON t.id = mc.movie_id JOIN (SELECT movie_id FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'top 250 rank' AND it.id = mi_idx.info_type_id) AS t_mi_idx ON t_mi_idx.movie_id = mc.movie_id,"/*+
IndexOnlyScan(it)
NestLoop(mi_idx it)

*/"
1b,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'bottom 10 rank' AND it.id = mi_idx.info_type_id JOIN title AS t ON t.production_year BETWEEN 2005 AND 2010 AND t.id = mi_idx.movie_id JOIN movie_companies AS mc ON mc.movie_id = mi_idx.movie_id AND mc.note NOT LIKE '%(as metro-goldwyn-mayer pictures)%' JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id,"/*+



*/"
1c,SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id AND mc.note NOT LIKE '%(as metro-goldwyn-mayer pictures)%' AND mc.note LIKE '%(co-production)%' JOIN title AS t ON t.production_year > 2010 AND t.id = mc.movie_id JOIN (SELECT movie_id FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'top 250 rank' AND it.id = mi_idx.info_type_id) AS t_mi_idx ON t_mi_idx.movie_id = mc.movie_id,"/*+
IndexOnlyScan(it)
NestLoop(mi_idx it)

*/"
1d,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'bottom 10 rank' AND it.id = mi_idx.info_type_id JOIN title AS t ON t.production_year > 2000 AND t.id = mi_idx.movie_id JOIN movie_companies AS mc ON mc.movie_id = mi_idx.movie_id AND mc.note NOT LIKE '%(as metro-goldwyn-mayer pictures)%' JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id,"/*+



*/"
2a,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[de]' AND cn.id = mc.company_id,"/*+



*/"
2b,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[nl]' AND cn.id = mc.company_id,"/*+



*/"
2c,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN (SELECT movie_id FROM movie_companies AS mc JOIN company_name AS cn ON cn.country_code = '[sm]' AND cn.id = mc.company_id) AS t_mc ON t_mc.movie_id = mk.movie_id,"/*+
IndexOnlyScan(cn)
NestLoop(mc cn)

*/"
2d,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id,"/*+



*/"
3a,"SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.production_year > 2005 AND t.id = mi.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german') JOIN (SELECT movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id) AS t_mk ON t_mk.movie_id = mi.movie_id","/*+
IndexOnlyScan(k)
NestLoop(mk k)

*/"
3b,SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.production_year > 2010 AND t.id = mi.movie_id AND mi.info IN ('bulgaria') JOIN (SELECT movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id) AS t_mk ON t_mk.movie_id = mi.movie_id,"/*+
IndexOnlyScan(k)
NestLoop(mk k)

*/"
