query,label,query_ues,optimization_time
"SELECT COUNT(*) 
 FROM keyword AS k,
      movie_info AS mi,
      movie_keyword AS mk,
      title AS t
 WHERE k.keyword LIKE '%sequel%'
   AND mi.info IN ('Sweden','Norway','Germany','Denmark','Swedish','Denish','Norwegian', 'German','USA','American')
   AND t.production_year > 1990
   AND t.id = mi.movie_id
   AND t.id = mk.movie_id
   AND mk.movie_id = mi.movie_id
   AND k.id = mk.keyword_id;
 
",3c,"SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.id = mi.movie_id AND t.production_year > 1990 AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American') JOIN (SELECT k.id AS k_id, mk.movie_id AS mk_movie_id, mk.keyword_id AS mk_keyword_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi.movie_id",1.247186
"SELECT COUNT(*) 
 FROM company_type AS ct,
      info_type AS it,
      movie_companies AS mc,
      movie_info_idx AS mi_idx,
      title AS t
 WHERE ct.kind = 'production companies'
   AND it.info = 'bottom 10 rank'
   AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
   AND t.production_year >2000
   AND ct.id = mc.company_type_id
   AND t.id = mc.movie_id
   AND t.id = mi_idx.movie_id
   AND mc.movie_id = mi_idx.movie_id
   AND it.id = mi_idx.info_type_id;
 
",1d,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'bottom 10 rank' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year > 2000 JOIN movie_companies AS mc ON t.id = mc.movie_id AND mc.movie_id = mi_idx.movie_id AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies',0.289792
"SELECT COUNT(*) 
 FROM aka_title AS at,
      company_name AS cn,
      company_type AS ct,
      info_type AS it1,
      keyword AS k,
      movie_companies AS mc,
      movie_info AS mi,
      movie_keyword AS mk,
      title AS t
 WHERE cn.country_code = '[us]'
   AND it1.info = 'release dates'
   AND mi.note LIKE '%internet%'
   AND t.production_year > 1990
   AND t.id = at.movie_id
   AND t.id = mi.movie_id
   AND t.id = mk.movie_id
   AND t.id = mc.movie_id
   AND mk.movie_id = mi.movie_id
   AND mk.movie_id = mc.movie_id
   AND mk.movie_id = at.movie_id
   AND mi.movie_id = mc.movie_id
   AND mi.movie_id = at.movie_id
   AND mc.movie_id = at.movie_id
   AND k.id = mk.keyword_id
   AND it1.id = mi.info_type_id
   AND cn.id = mc.company_id
   AND ct.id = mc.company_type_id;
 
",15d,SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it1 ON it1.id = mi.info_type_id AND it1.info = 'release dates' AND mi.note LIKE '%internet%' JOIN title AS t ON t.id = mi.movie_id AND t.production_year > 1990 JOIN aka_title AS at ON t.id = at.movie_id AND mi.movie_id = at.movie_id JOIN movie_companies AS mc ON t.id = mc.movie_id AND mi.movie_id = mc.movie_id AND mc.movie_id = at.movie_id JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[us]' JOIN movie_keyword AS mk ON t.id = mk.movie_id AND mk.movie_id = mi.movie_id AND mk.movie_id = mc.movie_id AND mk.movie_id = at.movie_id JOIN keyword AS k ON k.id = mk.keyword_id,1.273317
"SELECT COUNT(*) 
 FROM complete_cast AS cc,
      comp_cast_type AS cct1,
      comp_cast_type AS cct2,
      company_name AS cn,
      company_type AS ct,
      info_type AS it1,
      info_type AS it2,
      keyword AS k,
      kind_type AS kt,
      movie_companies AS mc,
      movie_info AS mi,
      movie_info_idx AS mi_idx,
      movie_keyword AS mk,
      title AS t
 WHERE cct1.kind = 'cast'
   AND cct2.kind = 'complete'
   AND cn.country_code != '[us]'
   AND it1.info = 'countries'
   AND it2.info = 'rating'
   AND k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')
   AND kt.kind IN ('movie', 'episode')
   AND mc.note NOT LIKE '%(USA)%'
   AND mc.note LIKE '%(200%)%'
   AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American')
   AND mi_idx.info < '8.5'
   AND t.production_year > 2005
   AND kt.id = t.kind_id
   AND t.id = mi.movie_id
   AND t.id = mk.movie_id
   AND t.id = mi_idx.movie_id
   AND t.id = mc.movie_id
   AND t.id = cc.movie_id
   AND mk.movie_id = mi.movie_id
   AND mk.movie_id = mi_idx.movie_id
   AND mk.movie_id = mc.movie_id
   AND mk.movie_id = cc.movie_id
   AND mi.movie_id = mi_idx.movie_id
   AND mi.movie_id = mc.movie_id
   AND mi.movie_id = cc.movie_id
   AND mc.movie_id = mi_idx.movie_id
   AND mc.movie_id = cc.movie_id
   AND mi_idx.movie_id = cc.movie_id
   AND k.id = mk.keyword_id
   AND it1.id = mi.info_type_id
   AND it2.id = mi_idx.info_type_id
   AND ct.id = mc.company_type_id
   AND cn.id = mc.company_id
   AND cct1.id = cc.subject_id
   AND cct2.id = cc.status_id;
 
",28c,"SELECT COUNT(*) FROM comp_cast_type AS cct1 JOIN complete_cast AS cc ON cct1.id = cc.subject_id AND cct1.kind = 'cast' JOIN title AS t ON t.id = cc.movie_id AND t.production_year > 2005 JOIN kind_type AS kt ON kt.id = t.kind_id AND kt.kind IN ('movie', 'episode') JOIN (SELECT mi_idx.info_type_id AS mi_idx_info_type_id, mi_idx.movie_id AS mi_idx_movie_id, it2.id AS it2_id FROM movie_info_idx AS mi_idx JOIN info_type AS it2 ON it2.id = mi_idx.info_type_id AND it2.info = 'rating' AND mi_idx.info < '8.5') AS it2_mi_idx ON t.id = it2_mi_idx.mi_idx_movie_id AND it2_mi_idx.mi_idx_movie_id = cc.movie_id JOIN comp_cast_type AS cct2 ON cct2.id = cc.status_id AND cct2.kind = 'complete' JOIN movie_companies AS mc ON t.id = mc.movie_id AND mc.movie_id = it2_mi_idx.mi_idx_movie_id AND mc.movie_id = cc.movie_id AND mc.note NOT LIKE '%(USA)%' AND mc.note LIKE '%(200%)%' JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code <> '[us]' JOIN (SELECT k.id AS k_id, mk.movie_id AS mk_movie_id, mk.keyword_id AS mk_keyword_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')) AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = it2_mi_idx.mi_idx_movie_id AND k_mk.mk_movie_id = mc.movie_id AND k_mk.mk_movie_id = cc.movie_id JOIN movie_info AS mi ON t.id = mi.movie_id AND k_mk.mk_movie_id = mi.movie_id AND mi.movie_id = it2_mi_idx.mi_idx_movie_id AND mi.movie_id = mc.movie_id AND mi.movie_id = cc.movie_id AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American') JOIN info_type AS it1 ON it1.id = mi.info_type_id AND it1.info = 'countries'",0.179784
"SELECT COUNT(*) 
 FROM company_name AS cn1,
      company_name AS cn2,
      info_type AS it1,
      info_type AS it2,
      kind_type AS kt1,
      kind_type AS kt2,
      link_type AS lt,
      movie_companies AS mc1,
      movie_companies AS mc2,
      movie_info_idx AS mi_idx1,
      movie_info_idx AS mi_idx2,
      movie_link AS ml,
      title AS t1,
      title AS t2
 WHERE cn1.country_code = '[us]'
   AND it1.info = 'rating'
   AND it2.info = 'rating'
   AND kt1.kind IN ('tv series')
   AND kt2.kind IN ('tv series')
   AND lt.link IN ('sequel',  'follows',  'followed by')
   AND mi_idx2.info < '3.0'
   AND t2.production_year BETWEEN 2005 AND 2008
   AND lt.id = ml.link_type_id
   AND t1.id = ml.movie_id
   AND t2.id = ml.linked_movie_id
   AND it1.id = mi_idx1.info_type_id
   AND t1.id = mi_idx1.movie_id
   AND kt1.id = t1.kind_id
   AND cn1.id = mc1.company_id
   AND t1.id = mc1.movie_id
   AND ml.movie_id = mi_idx1.movie_id
   AND ml.movie_id = mc1.movie_id
   AND mi_idx1.movie_id = mc1.movie_id
   AND it2.id = mi_idx2.info_type_id
   AND t2.id = mi_idx2.movie_id
   AND kt2.id = t2.kind_id
   AND cn2.id = mc2.company_id
   AND t2.id = mc2.movie_id
   AND ml.linked_movie_id = mi_idx2.movie_id
   AND ml.linked_movie_id = mc2.movie_id
   AND mi_idx2.movie_id = mc2.movie_id;
 
",33a,"SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id AND lt.link IN ('sequel', 'follows', 'followed by') JOIN title AS t2 ON t2.id = ml.linked_movie_id AND t2.production_year BETWEEN 2005 AND 2008 JOIN kind_type AS kt2 ON kt2.id = t2.kind_id AND kt2.kind IN ('tv series') JOIN title AS t1 ON t1.id = ml.movie_id JOIN kind_type AS kt1 ON kt1.id = t1.kind_id AND kt1.kind IN ('tv series') JOIN (SELECT mi_idx1.movie_id AS mi_idx1_movie_id, mi_idx1.info_type_id AS mi_idx1_info_type_id, it1.id AS it1_id FROM movie_info_idx AS mi_idx1 JOIN info_type AS it1 ON it1.id = mi_idx1.info_type_id AND it1.info = 'rating') AS it1_mi_idx1 ON t1.id = it1_mi_idx1.mi_idx1_movie_id AND ml.movie_id = it1_mi_idx1.mi_idx1_movie_id JOIN (SELECT mi_idx2.movie_id AS mi_idx2_movie_id, mi_idx2.info_type_id AS mi_idx2_info_type_id, it2.id AS it2_id FROM movie_info_idx AS mi_idx2 JOIN info_type AS it2 ON it2.id = mi_idx2.info_type_id AND it2.info = 'rating' AND mi_idx2.info < '3.0') AS it2_mi_idx2 ON t2.id = it2_mi_idx2.mi_idx2_movie_id AND ml.linked_movie_id = it2_mi_idx2.mi_idx2_movie_id JOIN movie_companies AS mc2 ON t2.id = mc2.movie_id AND ml.linked_movie_id = mc2.movie_id AND it2_mi_idx2.mi_idx2_movie_id = mc2.movie_id JOIN company_name AS cn2 ON cn2.id = mc2.company_id JOIN movie_companies AS mc1 ON t1.id = mc1.movie_id AND ml.movie_id = mc1.movie_id AND it1_mi_idx1.mi_idx1_movie_id = mc1.movie_id JOIN company_name AS cn1 ON cn1.id = mc1.company_id AND cn1.country_code = '[us]'",0.450182
"SELECT COUNT(*) 
 FROM aka_name AS an,
      complete_cast AS cc,
      comp_cast_type AS cct1,
      comp_cast_type AS cct2,
      char_name AS chn,
      cast_info AS ci,
      company_name AS cn,
      info_type AS it,
      info_type AS it3,
      keyword AS k,
      movie_companies AS mc,
      movie_info AS mi,
      movie_keyword AS mk,
      name AS n,
      person_info AS pi,
      role_type AS rt,
      title AS t
 WHERE cct1.kind ='cast'
   AND cct2.kind ='complete+verified'
   AND ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)')
   AND cn.country_code ='[us]'
   AND it.info = 'release dates'
   AND it3.info = 'trivia'
   AND k.keyword = 'computer-animation'
   AND mi.info IS NOT NULL
   AND (mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:%200%')
   AND n.gender ='f'
   AND n.name LIKE '%An%'
   AND rt.role ='actress'
   AND t.production_year BETWEEN 2000 AND 2010
   AND t.id = mi.movie_id
   AND t.id = mc.movie_id
   AND t.id = ci.movie_id
   AND t.id = mk.movie_id
   AND t.id = cc.movie_id
   AND mc.movie_id = ci.movie_id
   AND mc.movie_id = mi.movie_id
   AND mc.movie_id = mk.movie_id
   AND mc.movie_id = cc.movie_id
   AND mi.movie_id = ci.movie_id
   AND mi.movie_id = mk.movie_id
   AND mi.movie_id = cc.movie_id
   AND ci.movie_id = mk.movie_id
   AND ci.movie_id = cc.movie_id
   AND mk.movie_id = cc.movie_id
   AND cn.id = mc.company_id
   AND it.id = mi.info_type_id
   AND n.id = ci.person_id
   AND rt.id = ci.role_id
   AND n.id = an.person_id
   AND ci.person_id = an.person_id
   AND chn.id = ci.person_role_id
   AND n.id = pi.person_id
   AND ci.person_id = pi.person_id
   AND it3.id = pi.info_type_id
   AND k.id = mk.keyword_id
   AND cct1.id = cc.subject_id
   AND cct2.id = cc.status_id;
 
",29c,"SELECT COUNT(*) FROM comp_cast_type AS cct1 JOIN complete_cast AS cc ON cct1.id = cc.subject_id AND cct1.kind = 'cast' JOIN title AS t ON t.id = cc.movie_id AND t.production_year BETWEEN 2000 AND 2010 JOIN comp_cast_type AS cct2 ON cct2.id = cc.status_id AND cct2.kind = 'complete+verified' JOIN movie_companies AS mc ON t.id = mc.movie_id AND mc.movie_id = cc.movie_id JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[us]' JOIN (SELECT k.id AS k_id, mk.movie_id AS mk_movie_id, mk.keyword_id AS mk_keyword_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword = 'computer-animation') AS k_mk ON t.id = k_mk.mk_movie_id AND mc.movie_id = k_mk.mk_movie_id AND k_mk.mk_movie_id = cc.movie_id JOIN cast_info AS ci ON t.id = ci.movie_id AND mc.movie_id = ci.movie_id AND ci.movie_id = k_mk.mk_movie_id AND ci.movie_id = cc.movie_id AND ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)') JOIN role_type AS rt ON rt.id = ci.role_id AND rt.role = 'actress' JOIN name AS n ON n.id = ci.person_id AND n.gender = 'f' AND n.name LIKE '%An%' JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN aka_name AS an ON n.id = an.person_id AND ci.person_id = an.person_id JOIN (SELECT it3.id AS it3_id, pi.person_id AS pi_person_id, pi.info_type_id AS pi_info_type_id FROM person_info AS pi JOIN info_type AS it3 ON it3.id = pi.info_type_id AND it3.info = 'trivia') AS it3_pi ON n.id = it3_pi.pi_person_id AND ci.person_id = it3_pi.pi_person_id JOIN movie_info AS mi ON t.id = mi.movie_id AND mc.movie_id = mi.movie_id AND mi.movie_id = ci.movie_id AND mi.movie_id = k_mk.mk_movie_id AND mi.movie_id = cc.movie_id AND mi.info IS NOT NULL AND (mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:%200%') JOIN info_type AS it ON it.id = mi.info_type_id AND it.info = 'release dates'",2.135864
"SELECT COUNT(*) 
 FROM aka_name AS an,
      cast_info AS ci,
      company_name AS cn,
      movie_companies AS mc,
      name AS n,
      role_type AS rt,
      title AS t
 WHERE ci.note ='(voice: English version)'
   AND cn.country_code ='[jp]'
   AND mc.note LIKE '%(Japan)%'
   AND mc.note NOT LIKE '%(USA)%'
   AND (mc.note LIKE '%(2006)%'  OR mc.note LIKE '%(2007)%')
   AND n.name LIKE '%Yo%'
   AND n.name NOT LIKE '%Yu%'
   AND rt.role ='actress'
   AND t.production_year BETWEEN 2006 AND 2007
   AND (t.title LIKE 'One Piece%'  OR t.title LIKE 'Dragon Ball Z%')
   AND an.person_id = n.id
   AND n.id = ci.person_id
   AND ci.movie_id = t.id
   AND t.id = mc.movie_id
   AND mc.company_id = cn.id
   AND ci.role_id = rt.id
   AND an.person_id = ci.person_id
   AND ci.movie_id = mc.movie_id;
 
",8b,SELECT COUNT(*) FROM movie_companies AS mc JOIN title AS t ON t.id = mc.movie_id AND t.production_year BETWEEN 2006 AND 2007 AND (t.title LIKE 'One Piece%' OR t.title LIKE 'Dragon Ball Z%') AND mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%' AND (mc.note LIKE '%(2006)%' OR mc.note LIKE '%(2007)%') JOIN company_name AS cn ON mc.company_id = cn.id AND cn.country_code = '[jp]' JOIN cast_info AS ci ON ci.movie_id = t.id AND ci.movie_id = mc.movie_id AND ci.note = '(voice: English version)' JOIN role_type AS rt ON ci.role_id = rt.id AND rt.role = 'actress' JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Yo%' AND n.name NOT LIKE '%Yu%' JOIN aka_name AS an ON an.person_id = n.id AND an.person_id = ci.person_id,0.008479
"SELECT COUNT(*) 
 FROM company_name AS cn,
      company_type AS ct,
      info_type AS it,
      info_type AS it2,
      kind_type AS kt,
      movie_companies AS mc,
      movie_info AS mi,
      movie_info_idx AS miidx,
      title AS t
 WHERE cn.country_code ='[de]'
   AND ct.kind ='production companies'
   AND it.info ='rating'
   AND it2.info ='release dates'
   AND kt.kind ='movie'
   AND mi.movie_id = t.id
   AND it2.id = mi.info_type_id
   AND kt.id = t.kind_id
   AND mc.movie_id = t.id
   AND cn.id = mc.company_id
   AND ct.id = mc.company_type_id
   AND miidx.movie_id = t.id
   AND it.id = miidx.info_type_id
   AND mi.movie_id = miidx.movie_id
   AND mi.movie_id = mc.movie_id
   AND miidx.movie_id = mc.movie_id;
 
",13a,"SELECT COUNT(*) FROM movie_info_idx AS miidx JOIN info_type AS it ON it.id = miidx.info_type_id AND it.info = 'rating' JOIN title AS t ON miidx.movie_id = t.id JOIN kind_type AS kt ON kt.id = t.kind_id AND kt.kind = 'movie' JOIN (SELECT mc.company_type_id AS mc_company_type_id, mc.movie_id AS mc_movie_id, mc.company_id AS mc_company_id, ct.id AS ct_id, cn.id AS cn_id FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[de]') AS cn_ct_mc ON cn_ct_mc.mc_movie_id = t.id AND miidx.movie_id = cn_ct_mc.mc_movie_id JOIN (SELECT it2.id AS it2_id, mi.info_type_id AS mi_info_type_id, mi.movie_id AS mi_movie_id FROM movie_info AS mi JOIN info_type AS it2 ON it2.id = mi.info_type_id AND it2.info = 'release dates') AS it2_mi ON it2_mi.mi_movie_id = t.id AND it2_mi.mi_movie_id = miidx.movie_id AND it2_mi.mi_movie_id = cn_ct_mc.mc_movie_id",0.901512
"SELECT COUNT(*) 
 FROM aka_name AS an,
      complete_cast AS cc,
      comp_cast_type AS cct1,
      comp_cast_type AS cct2,
      char_name AS chn,
      cast_info AS ci,
      company_name AS cn,
      info_type AS it,
      info_type AS it3,
      keyword AS k,
      movie_companies AS mc,
      movie_info AS mi,
      movie_keyword AS mk,
      name AS n,
      person_info AS pi,
      role_type AS rt,
      title AS t
 WHERE cct1.kind ='cast'
   AND cct2.kind ='complete+verified'
   AND chn.name = 'Queen'
   AND ci.note IN ('(voice)', '(voice) (uncredited)', '(voice: English version)')
   AND cn.country_code ='[us]'
   AND it.info = 'release dates'
   AND it3.info = 'trivia'
   AND k.keyword = 'computer-animation'
   AND mi.info IS NOT NULL
   AND (mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:%200%')
   AND n.gender ='f'
   AND n.name LIKE '%An%'
   AND rt.role ='actress'
   AND t.title = 'Shrek 2'
   AND t.production_year BETWEEN 2000 AND 2010
   AND t.id = mi.movie_id
   AND t.id = mc.movie_id
   AND t.id = ci.movie_id
   AND t.id = mk.movie_id
   AND t.id = cc.movie_id
   AND mc.movie_id = ci.movie_id
   AND mc.movie_id = mi.movie_id
   AND mc.movie_id = mk.movie_id
   AND mc.movie_id = cc.movie_id
   AND mi.movie_id = ci.movie_id
   AND mi.movie_id = mk.movie_id
   AND mi.movie_id = cc.movie_id
   AND ci.movie_id = mk.movie_id
   AND ci.movie_id = cc.movie_id
   AND mk.movie_id = cc.movie_id
   AND cn.id = mc.company_id
   AND it.id = mi.info_type_id
   AND n.id = ci.person_id
   AND rt.id = ci.role_id
   AND n.id = an.person_id
   AND ci.person_id = an.person_id
   AND chn.id = ci.person_role_id
   AND n.id = pi.person_id
   AND ci.person_id = pi.person_id
   AND it3.id = pi.info_type_id
   AND k.id = mk.keyword_id
   AND cct1.id = cc.subject_id
   AND cct2.id = cc.status_id;
 
",29a,"SELECT COUNT(*) FROM comp_cast_type AS cct1 JOIN (SELECT cc.status_id AS cc_status_id, cc.movie_id AS cc_movie_id, cc.subject_id AS cc_subject_id, t.id AS t_id FROM complete_cast AS cc JOIN title AS t ON t.id = cc.movie_id AND t.title = 'Shrek 2' AND t.production_year BETWEEN 2000 AND 2010) AS cc_t ON cct1.id = cc_t.cc_subject_id AND cct1.kind = 'cast' JOIN comp_cast_type AS cct2 ON cct2.id = cc_t.cc_status_id AND cct2.kind = 'complete+verified' JOIN movie_companies AS mc ON cc_t.t_id = mc.movie_id AND mc.movie_id = cc_t.cc_movie_id JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[us]' JOIN (SELECT k.id AS k_id, mk.movie_id AS mk_movie_id, mk.keyword_id AS mk_keyword_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword = 'computer-animation') AS k_mk ON cc_t.t_id = k_mk.mk_movie_id AND mc.movie_id = k_mk.mk_movie_id AND k_mk.mk_movie_id = cc_t.cc_movie_id JOIN cast_info AS ci ON cc_t.t_id = ci.movie_id AND mc.movie_id = ci.movie_id AND ci.movie_id = k_mk.mk_movie_id AND ci.movie_id = cc_t.cc_movie_id AND ci.note IN ('(voice)', '(voice) (uncredited)', '(voice: English version)') JOIN char_name AS chn ON chn.id = ci.person_role_id AND chn.name = 'Queen' JOIN role_type AS rt ON rt.id = ci.role_id AND rt.role = 'actress' JOIN name AS n ON n.id = ci.person_id AND n.gender = 'f' AND n.name LIKE '%An%' JOIN aka_name AS an ON n.id = an.person_id AND ci.person_id = an.person_id JOIN (SELECT it3.id AS it3_id, pi.person_id AS pi_person_id, pi.info_type_id AS pi_info_type_id FROM person_info AS pi JOIN info_type AS it3 ON it3.id = pi.info_type_id AND it3.info = 'trivia') AS it3_pi ON n.id = it3_pi.pi_person_id AND ci.person_id = it3_pi.pi_person_id JOIN movie_info AS mi ON cc_t.t_id = mi.movie_id AND mc.movie_id = mi.movie_id AND mi.movie_id = ci.movie_id AND mi.movie_id = k_mk.mk_movie_id AND mi.movie_id = cc_t.cc_movie_id AND mi.info IS NOT NULL AND (mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:%200%') JOIN info_type AS it ON it.id = mi.info_type_id AND it.info = 'release dates'",0.021497
"SELECT COUNT(*) 
 FROM cast_info AS ci,
      keyword AS k,
      movie_keyword AS mk,
      name AS n,
      title AS t
 WHERE k.keyword IN ('superhero', 'sequel',  'second-part',     'marvel-comics',   'based-on-comic', 'tv-special',  'fight',   'violence')
   AND n.name LIKE '%Downey%Robert%'
   AND t.production_year > 2014
   AND k.id = mk.keyword_id
   AND t.id = mk.movie_id
   AND t.id = ci.movie_id
   AND ci.movie_id = mk.movie_id
   AND n.id = ci.person_id;
 
",6b,"SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') JOIN title AS t ON t.id = mk.movie_id AND t.production_year > 2014 JOIN (SELECT ci.person_id AS ci_person_id, ci.movie_id AS ci_movie_id, n.id AS n_id FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%') AS ci_n ON t.id = ci_n.ci_movie_id AND ci_n.ci_movie_id = mk.movie_id",8.257121
